rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_sparseReward_mean,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef
296.84,373.20624507,3490197,60,5.15,7576,57963,,,2.7972562313079834,3480196,0.0003,-0.603041410446167,-62.6138916015625,0.023836974054574966
296.98,373.3448253,3491214,60,5.15,7580,57978,,,2.71097993850708,3481213,0.0003,-1.2723071575164795,-63.705650329589844,0.023336153477430344
307.25,372.8271642299999,3493647,60,5.2,7584,58015,,,2.7503855228424072,3483646,0.0003,-0.6293442845344543,-60.49287033081055,0.024331090971827507
327.69,375.96632013999994,3496659,60,5.25,7588,58062,,,3.5638346672058105,3486658,0.0003,-0.32702094316482544,-62.1817741394043,0.023791471496224403
325.44,371.75044765000007,3497531,60,5.2,7592,58076,,,4.270913124084473,3487530,0.0003,-1.3010886907577515,-61.96302032470703,0.02386879175901413
325.95,372.33415028,3498612,60,5.2,7596,58092,,,4.022878646850586,3488611,0.0003,2.0240466594696045,-62.21372985839844,0.023249300196766853
326.46,373.64996097000005,3499646,60,5.2,7600,58108,,,3.1937384605407715,3489645,0.0003,0.215021550655365,-58.51022720336914,0.024063797667622566
,,3500000,,,,,548.0,405.412724,4.548053741455078,3489999,0.0003,0.1319860816001892,-58.68344497680664,0.023805810138583183
334.45,377.7499132900001,3501344,60,5.25,7604,58144,,,9.581037521362305,3491343,0.0003,-2.9571597576141357,-60.015419006347656,0.023787574842572212
335.07,378.49809057000004,3502300,60,5.25,7608,58159,,,5.946033477783203,3492299,0.0003,0.7997640371322632,-62.01435852050781,0.02359088510274887
330.64,371.05911395000004,3502853,60,5.15,7612,58167,,,4.496584892272949,3492852,0.0003,2.4908976554870605,-60.485931396484375,0.023800883442163467
329.41,368.68834135000003,3503858,60,5.1,7616,58182,,,3.9354326725006104,3493857,0.0003,-3.1301112174987793,-60.28846740722656,0.02370218187570572
331.37,371.53695347999985,3504808,60,5.15,7620,58196,,,5.092197418212891,3494807,0.0003,0.4373234510421753,-62.63682556152344,0.023668304085731506
331.26,370.09159953,3505725,60,5.1,7624,58210,,,4.269366264343262,3495724,0.0003,-1.743177056312561,-60.43986511230469,0.024411311373114586
327.55,371.64632385,3506772,60,5.15,7628,58226,,,4.033267974853516,3496771,0.0003,2.199235200881958,-60.80066680908203,0.02297041192650795
328.15,373.05544355000006,3507800,60,5.15,7632,58241,,,4.352846622467041,3497799,0.0003,-1.8253309726715088,-61.852333068847656,0.023543845862150192
326.77,371.69651107,3508677,60,5.15,7636,58254,,,4.9018120765686035,3498676,0.0003,-0.9125043749809265,-60.72697448730469,0.02408885397017002
327.35,371.94008647999993,3509632,60,5.15,7640,58269,,,4.383368015289307,3499631,0.0003,-0.25587114691734314,-60.24906539916992,0.02383997291326523
,,3510000,,,,,233.9,356.9533616,4.096892356872559,3499999,0.0003,-1.3783915042877197,-60.54353332519531,0.02342057414352894
327.96,373.48820202,3510763,60,5.2,7644,58291,,,3.09637451171875,3500762,0.0003,0.11391162872314453,-63.32121276855469,0.024045830592513084
326.37,368.45041453,3512963,60,5.15,7648,58325,,,3.8395681381225586,3502962,0.0003,-1.3979465961456299,-62.59230041503906,0.024043038487434387
325.78,368.2655858399999,3513896,60,5.15,7652,58340,,,3.8470678329467773,3503895,0.0003,1.2732564210891724,-66.02593994140625,0.023948976770043373
326.73,368.9503897299999,3514912,60,5.15,7656,58355,,,3.3344480991363525,3504911,0.0003,1.1680848598480225,-60.30974578857422,0.0240505188703537
325.83,367.98760435,3515792,60,5.15,7660,58369,,,3.7167930603027344,3505791,0.0003,-1.0500602722167969,-63.01314163208008,0.024094179272651672
340.71,369.85017773999994,3518286,60,5.2,7664,58407,,,6.794089317321777,3508285,0.0003,0.5106947422027588,-64.27671813964844,0.02403239719569683
,,3520000,,,,,830.7,393.0211434,2.838315010070801,3509999,0.0003,2.175044059753418,-61.85105895996094,0.023321975022554398
336.83,373.67007427,3520462,60,5.25,7668,58455,,,4.55216121673584,3510461,0.0003,-0.2563779950141907,-61.444244384765625,0.02363305725157261
350.34,373.32984037999995,3522807,60,5.25,7672,58490,,,4.131916522979736,3512806,0.0003,1.2943034172058105,-62.27873992919922,0.02366185560822487
334.45,369.84639523999994,3523642,60,5.15,7676,58503,,,5.422151565551758,3513641,0.0003,0.7395315170288086,-61.0856819152832,0.022898124530911446
335.15,369.9629114900001,3524729,60,5.15,7680,58519,,,2.8931503295898438,3514728,0.0003,1.7257496118545532,-61.45598602294922,0.022702736780047417
321.19,370.0777258,3525766,60,5.1,7684,58535,,,2.835921049118042,3515765,0.0003,-3.759143352508545,-62.078330993652344,0.023789016529917717
300.57,367.06874555999997,3526716,60,5.05,7688,58549,,,4.172467231750488,3516715,0.0003,-0.02535426616668701,-60.08712387084961,0.023049388080835342
300.72,368.63141211999994,3527603,60,5.1,7692,58562,,,6.787376880645752,3517602,0.0003,0.9704627394676208,-61.40644454956055,0.023190781474113464
300.4,369.14374065000004,3528652,60,5.1,7696,58578,,,3.6798577308654785,3518651,0.0003,-1.6027615070343018,-59.47836685180664,0.02381546050310135
300.34,369.64042509,3529680,60,5.1,7700,58593,,,2.898918628692627,3519679,0.0003,-1.0836883783340454,-59.700950622558594,0.02377914823591709
,,3530000,,,,,235.2,363.9871335,3.9333250522613525,3519999,0.0003,1.244741439819336,-60.159915924072266,0.024358265101909637
293.64,368.51848818999997,3530708,60,5.05,7704,58613,,,3.900564193725586,3520707,0.0003,-2.489144802093506,-61.36029815673828,0.023990118876099586
294.3,370.25882266,3531730,60,5.1,7708,58628,,,3.2973856925964355,3521729,0.0003,0.5036020278930664,-63.05717086791992,0.022853586822748184
298.43,375.22601173999993,3532696,60,5.2,7712,58643,,,3.0123090744018555,3522695,0.0003,-0.8655288815498352,-62.88829803466797,0.02346652001142502
298.73,375.37856537,3533731,60,5.2,7716,58658,,,3.183472156524658,3523730,0.0003,0.45385223627090454,-61.80934143066406,0.024072732776403427
313.76,376.90681700999994,3536184,60,5.25,7720,58695,,,3.2143421173095703,3526183,0.0003,-1.4186595678329468,-63.73447036743164,0.023432716727256775
314.67,379.07399384,3537192,60,5.3,7724,58710,,,5.377828598022461,3527191,0.0003,1.7278695106506348,-59.24641799926758,0.02367941290140152
313.42,378.1361540999999,3538114,60,5.3,7728,58724,,,5.209403038024902,3528113,0.0003,-1.0682785511016846,-65.43749237060547,0.023507773876190186
312.27,375.94853596999997,3539027,60,5.25,7732,58737,,,3.660295009613037,3529026,0.0003,0.5824824571609497,-61.80683135986328,0.024060271680355072
,,3540000,,,,,225.8,356.6930861,4.0178422927856445,3529999,0.0003,-2.0186057090759277,-65.36647033691406,0.024149775505065918
320.37,381.2879324800001,3540714,60,5.35,7736,58767,,,3.8480005264282227,3530713,0.0003,0.12258201837539673,-60.837894439697266,0.024552125483751297
331.49,382.7045131400001,3542781,60,5.35,7740,58798,,,3.927924633026123,3532780,0.0003,0.8629506826400757,-59.322166442871094,0.023671604692935944
329.29,379.56780369999996,3543692,60,5.3,7744,58811,,,4.45900297164917,3533691,0.0003,-1.2440756559371948,-63.99872589111328,0.022951509803533554
320.1,380.43701605999996,3544973,60,5.25,7748,58831,,,3.1830637454986572,3534972,0.0003,-0.9791476726531982,-61.24207305908203,0.02211938239634037
320.78,381.35472094,3545974,60,5.25,7752,58846,,,3.291579246520996,3535973,0.0003,4.362345218658447,-63.30707931518555,0.02277538552880287
319.9,380.95091915999996,3546902,60,5.25,7756,58859,,,4.4692840576171875,3536901,0.0003,0.6566494703292847,-61.69282913208008,0.023552540689706802
320.82,381.843324,3547874,60,5.25,7760,58874,,,3.2604761123657227,3537873,0.0003,1.6959893703460693,-59.129150390625,0.023447208106517792
,,3550000,,,,,393.5,382.0000698,4.673527717590332,3539999,0.0003,1.1017067432403564,-62.5052604675293,0.024015339091420174
321.26,385.74195774,3550412,60,5.3,7764,58919,,,4.756758689880371,3540411,0.0003,0.3318035304546356,-66.53004455566406,0.024747435003519058
316.69,381.5474359699999,3552131,60,5.2,7768,58945,,,6.459284782409668,3542130,0.0003,-0.08674356341362,-61.47748565673828,0.024617914110422134
317.95,383.7412553599999,3554602,60,5.2,7772,58982,,,3.100739002227783,3544601,0.0003,0.8497333526611328,-64.12075805664062,0.0229825247079134
319.16,387.3502595299999,3555558,60,5.25,7776,58997,,,4.946889877319336,3545557,0.0003,-0.015345782041549683,-66.11434173583984,0.02296583540737629
332.71,388.41108791,3558000,60,5.3,7780,59033,,,3.8273887634277344,3547999,0.0003,1.6091299057006836,-65.96089172363281,0.02333933115005493
332.15,389.1641647899999,3558981,60,5.35,7784,59048,,,3.9879143238067627,3548980,0.0003,-1.1152782440185547,-64.99176025390625,0.023128807544708252
332.15,387.94186074,3559931,60,5.35,7788,59062,,,3.484736919403076,3549930,0.0003,2.3880348205566406,-61.1880989074707,0.022604407742619514
,,3560000,,,,,414.2,406.80476369999997,4.546266555786133,3549999,0.0003,0.7339226007461548,-61.839988708496094,0.022589754313230515
333.04,388.93356887000004,3560907,60,5.35,7792,59084,,,3.152078628540039,3550906,0.0003,-1.4764494895935059,-60.79791259765625,0.023163307458162308
331.7,386.26241344000005,3561822,60,5.35,7796,59098,,,3.333771228790283,3551821,0.0003,0.6280053853988647,-62.937522888183594,0.02276710607111454
331.08,383.27008544999995,3562788,60,5.3,7800,59113,,,3.6200270652770996,3552787,0.0003,-0.6296162605285645,-61.37161636352539,0.023315943777561188
345.21,382.5183455300001,3565229,60,5.35,7804,59149,,,3.0186948776245117,3555228,0.0003,0.024424999952316284,-64.7479248046875,0.023362986743450165
345.55,382.39197106000006,3566285,60,5.3,7808,59165,,,3.532043933868408,3556284,0.0003,-1.8610153198242188,-63.61204147338867,0.022815261036157608
351.0,385.35558352,3567796,60,5.3,7812,59187,,,4.549487113952637,3557795,0.0003,-0.2763810157775879,-64.00144958496094,0.022953718900680542
,,3570000,,,,,247.8,381.04884619999996,4.197632312774658,3559999,0.0003,0.9482825994491577,-62.620357513427734,0.023475680500268936
366.21,386.2737932299999,3570352,60,5.35,7816,59229,,,3.2754430770874023,3560351,0.0003,-0.019796043634414673,-66.14781188964844,0.022805416956543922
351.19,384.85151714,3571303,60,5.3,7820,59243,,,3.0437369346618652,3561302,0.0003,-0.39489316940307617,-63.46788787841797,0.02331174723803997
352.26,384.3550232399999,3572418,60,5.3,7824,59260,,,2.5283589363098145,3562417,0.0003,-0.05400514602661133,-63.69548797607422,0.023282619193196297
352.82,383.70829741999995,3573396,60,5.25,7828,59274,,,3.9540905952453613,3563395,0.0003,-0.8578981757164001,-67.57388305664062,0.02301894687116146
354.06,386.11256917,3574433,60,5.3,7832,59289,,,3.144563674926758,3564432,0.0003,-2.407227039337158,-66.74760437011719,0.023218605667352676
346.19,381.00012368999995,3575333,60,5.2,7836,59302,,,3.5300467014312744,3565332,0.0003,0.8672745823860168,-63.14399337768555,0.023234901949763298
334.8,378.6750079699999,3576261,60,5.2,7840,59316,,,3.591804265975952,3566260,0.0003,2.8906471729278564,-61.439971923828125,0.024187961593270302
339.69,380.2306983100001,3577661,60,5.2,7844,59337,,,3.3053011894226074,3567660,0.0003,-0.906845211982727,-63.48796081542969,0.023743921890854836
336.47,379.0146591999999,3578620,60,5.2,7848,59351,,,3.6650872230529785,3568619,0.0003,-0.8437930345535278,-60.6563835144043,0.022589856758713722
335.73,378.0603326400001,3579547,60,5.2,7852,59364,,,3.5868353843688965,3569546,0.0003,1.6009631156921387,-60.66803741455078,0.022433435544371605
,,3580000,,,,,271.4,402.81102079999994,3.6876425743103027,3569999,0.0003,0.3901900053024292,-62.639404296875,0.023376714438199997
338.0,381.3056571700001,3580702,60,5.25,7856,59386,,,3.7672278881073,3570701,0.0003,-1.284174919128418,-62.217437744140625,0.024250099435448647
339.33,384.04602008,3581807,60,5.25,7860,59403,,,4.687917232513428,3571806,0.0003,0.020301878452301025,-65.29646301269531,0.022728892043232918
338.08,378.8630660900001,3584220,60,5.2,7864,59438,,,3.336106777191162,3574219,0.0003,1.3831157684326172,-62.31301498413086,0.023227214813232422
334.0,379.4525311599999,3585531,60,5.2,7868,59458,,,4.614400386810303,3575530,0.0003,-2.5511903762817383,-63.7714958190918,0.023560820147395134
349.67,381.11822689,3589569,60,5.3,7872,59517,,,3.321758270263672,3579568,0.0003,1.5872011184692383,-67.65821838378906,0.022817209362983704
,,3590000,,,,,1004.2,449.4755861,4.131372928619385,3579999,0.0003,-1.919205665588379,-69.71878051757812,0.023137355223298073
367.8,382.4410762899999,3592338,60,5.35,7876,59576,,,4.13995361328125,3582337,0.0003,1.0506311655044556,-64.90237426757812,0.02244766801595688
353.97,379.93054209999997,3593397,60,5.3,7880,59591,,,5.076687812805176,3583396,0.0003,0.42092210054397583,-64.86813354492188,0.023241644725203514
383.51,380.26482018,3597332,60,5.35,7884,59649,,,2.8102850914001465,3587331,0.0003,1.612135410308838,-62.65067672729492,0.022399893030524254
399.26,382.03333728999996,3599857,60,5.4,7888,59686,,,4.749902248382568,3589856,0.0003,-2.748843193054199,-64.40650939941406,0.022954201325774193
,,3600000,,,,,860.9,434.0218465,4.9051313400268555,3589999,0.0003,2.3439037799835205,-66.52726745605469,0.023254871368408203
401.74,384.91551195000005,3601081,60,5.5,7892,59720,,,3.6637473106384277,3591080,0.0003,1.0348484516143799,-65.78616333007812,0.023127207532525063
402.85,387.29470284,3602107,60,5.5,7896,59735,,,2.685978412628174,3592106,0.0003,-0.010112732648849487,-66.67431640625,0.02339755743741989
401.77,385.83170362,3602965,60,5.5,7900,59748,,,6.328363418579102,3592964,0.0003,-0.9130346775054932,-63.949615478515625,0.023073431104421616
387.1,383.67279263000006,3603939,60,5.4,7904,59762,,,3.193800449371338,3593938,0.0003,-0.18753933906555176,-68.96652221679688,0.023659322410821915
386.33,381.71787872,3604918,60,5.4,7908,59777,,,4.006908893585205,3594917,0.0003,-0.010148584842681885,-65.1785888671875,0.023353036493062973
380.84,380.53462814,3605880,60,5.4,7912,59791,,,6.801331520080566,3595879,0.0003,0.2729451060295105,-69.76766204833984,0.02286328189074993
364.86,376.87580456999996,3606838,60,5.35,7916,59805,,,3.5179333686828613,3596837,0.0003,0.18559569120407104,-66.7183837890625,0.023616846650838852
